region_area_,Potability
region_area_0,1
region_area_10,1
region_area_1006,1
region_area_1010,1
region_area_1011,1
region_area_1012,1
region_area_1013,1
region_area_1019,1
region_area_1025,1
region_area_1027,1
region_area_103,1
region_area_1030,1
region_area_1035,1
region_area_104,1
region_area_1042,1
region_area_1043,1
region_area_1044,1
region_area_1047,1
region_area_1048,1
region_area_105,1
region_area_1053,1
region_area_1054,1
region_area_1055,1
region_area_1058,1
region_area_106,1
region_area_1063,1
region_area_1065,1
region_area_1067,1
region_area_107,1
region_area_1071,1
region_area_1078,1
region_area_1079,1
region_area_1080,1
region_area_1087,1
region_area_1089,1
region_area_1090,1
region_area_1093,1
region_area_1098,1
region_area_1099,1
region_area_110,1
region_area_1107,1
region_area_1110,1
region_area_1111,1
region_area_1122,1
region_area_1131,1
region_area_1132,1
region_area_1135,1
region_area_1136,1
region_area_1139,1
region_area_1146,1
region_area_1147,1
region_area_1148,1
region_area_115,1
region_area_1156,1
region_area_1157,1
region_area_1158,1
region_area_1159,1
region_area_116,1
region_area_1160,1
region_area_1161,1
region_area_1165,1
region_area_1166,1
region_area_1167,1
region_area_117,1
region_area_1171,1
region_area_1175,1
region_area_118,1
region_area_1181,1
region_area_1185,1
region_area_1187,1
region_area_1195,1
region_area_12,1
region_area_1205,1
region_area_1208,1
region_area_121,1
region_area_1211,1
region_area_1212,1
region_area_1217,1
region_area_1219,1
region_area_1224,1
region_area_1228,1
region_area_1237,1
region_area_1238,1
region_area_124,1
region_area_1240,1
region_area_1243,1
region_area_1244,1
region_area_1247,1
region_area_1248,1
region_area_1249,1
region_area_1253,1
region_area_1259,1
region_area_126,1
region_area_1260,1
region_area_1262,1
region_area_1263,1
region_area_1264,1
region_area_1267,1
region_area_1268,1
region_area_1271,1
region_area_1273,1
region_area_1275,1
region_area_1276,1
region_area_1280,1
region_area_1288,1
region_area_1290,1
region_area_1293,1
region_area_1294,1
region_area_1298,1
region_area_1299,1
region_area_130,1
region_area_1301,1
region_area_1302,1
region_area_1303,1
region_area_1308,1
region_area_1311,1
